﻿Published/unpublished,Title,Author(s),Journal,Pub Year,Volume,Pages,Url,DOI,Description/Notes,Region,Location Name,Site Name,Latitude,Longitude,Altitude,Soil Types,Is it pasture/crop?,Is it resident/sown?,Sowing Date,Harvest Method,Irrigation Level,kgNyr,kgPyr,kgKyr,kgSyr,kgLimeyr,Defoliation Method,Dominant Species,Cultivar,Flowering Date,Additional Species,Cultivars,Experiment Name,Measurement Unit,What yield are you recording?,Data Source,Start Date,End Date,DM Yield,Grain Yield,Growth Rate,Annual Yield,Met Files,Photos,Soil Water Data,Raw Data
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Low_Temataa Station_Pastures,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Low,,,,,,"Dry Winter ",kg/ha,TotalYield,Figure 2 Digitised,20/06/2018,02/08/2018,2065,,48.0233,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Low_Temataa Station_Pastures,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Low,,,,,,"Dry Winter ",kg/ha,TotalYield,Figure 2 Digitised,20/09/2018,14/11/2018,2026,,36.8364,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Low_Temataa Station_Pastures,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Low,,,,,,"Dry Winter ",kg/ha,TotalYield,Figure 2 Digitised,03/05/2018,20/06/2018,2113,,44.0208,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Low_Temataa Station_Pastures,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Low,,,,,,"Dry Winter ",kg/ha,TotalYield,Figure 2 Digitised,02/08/2018,20/09/2018,1939,,39.5714,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Low_Temataa Station_Pastures,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Low,,,,,,Wet Winter,kg/ha,TotalYield,Figure 1 Digitised,23/05/2017,05/07/2017,2222,,51.6744,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Low_Temataa Station_Pastures,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Low,,,,,,Wet Winter,kg/ha,TotalYield,Figure 1 Digitised,05/07/2017,11/08/2017,1711,,46.2432,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Low_Temataa Station_Pastures,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Low,,,,,,Wet Winter,kg/ha,TotalYield,Figure 1 Digitised,26/10/2017,24/11/2017,2218,,76.4828,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Low_Temataa Station_Pastures,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Low,,,,,,Wet Winter,kg/ha,TotalYield,Figure 1 Digitised,28/09/2017,26/10/2017,1874,,66.9286,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Low_Temataa Station_Pastures,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Low,,,,,,Wet Winter,kg/ha,TotalYield,Figure 1 Digitised,11/08/2017,28/09/2017,1892,,39.4167,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,Medium_Temataa Station,-34.99,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _Medium,,,,,,"Dry Winter ",kg/ha,TotalYield,Figure 2 Digitised,20/06/2018,02/08/2018,1934,,44.9767,0,,,,
